id,amazonBiomeArea_ha_25Sites,forestArea_1995_ha_25Sites,forestArea_2017_ha_25Sites,theta_25Sites,thetaSD_25Sites,gamma_25Sites,gammaSD_25Sites,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,b_25Sites,z_1995_25Sites,zbar_1995_25Sites,x_1995_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,gamma2010_25Sites,gamma2017_25Sites,gamma2018_25Sites,a_25Sites,k_25Sites,zeta_25Sites,zeta_alt_25Sites,rho_25Sites,r_25Sites,theta2017_25Sites,theta2006_25Sites,thetaProfit2017_25Sites,thetaProfit2006_25Sites,p_2017_25Sites,p_2017_alt_25Sites
11,22282205.25645397,14049327.531278573,11069899.831789628,1.730497758236877,0.14210806852539012,468.5354353774391,5.666738417336228,7911410.245586968,18981310.077376597,5186640337.272193,400269672.7496123,5070403.426542057,19119730.95782063,6582607791.627848,0,0,3838558.552138144,3744687.379301075,472.3761239452206,462.027198572521,471.20298361457566,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.8309833371525028,1.630012179321251,2.943514390132655,6.346984890529609,44.758760469833035,43.34917824284919
12,1809786.991361972,818121.2084449446,674502.1576725424,1.038740726292554,0.5709778444244986,216.29945458769075,4.742622898354539,311951.50005318614,986453.6577257286,145894448.82279152,9603204.382464746,207134.7440107494,1025255.952455694,176959171.17326397,0,0,262155.71156971983,279915.3198172512,221.74462365591395,213.07182320441987,214.0819169027384,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.4424830319923947,0.6349984205927136,3.708125266344282,6.0819799583395175,44.758760469833035,43.34917824284919
13,24100007.702127814,23786450.497132678,23491872.312353924,1.4761477374984437,0.13987227258428905,736.1126944029054,27.522952232996772,491859.8040786723,23983732.116432596,17292665424.41586,794593726.9402385,219460.17398651215,24005910.67111919,17509508165.725662,0,0,199347.7955446378,271377.7053237279,704.3764774610081,753.4376145577878,750.5239911899203,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.3772431050541196,1.5750523699427676,-0.14617594264320932,0.31495905506232924,44.758760469833035,43.34917824284919
14,28754954.75,28226007.805622876,27830274.976345185,1.481625785110381,0.2814771733764959,644.3771959628967,16.356531074697138,548889.5382631884,28379164.514608372,17933194552.133682,823045469.0003588,168585.939776721,28394593.745399598,18188195763.014103,0,0,291044.6347745769,386380.04081531276,625.5122003695548,654.5971356589641,653.0222518601712,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.2825913670666391,1.6806602031541227,0.4759123653447768,-0.028669126756233308,44.758760469833035,43.34917824284919
15,28754954.75,27248235.034786534,26311777.893229403,2.1487446982228637,0.6698107154759086,568.1320488202718,10.551588511638949,1193672.49308202,27505450.386311423,14948564282.584356,703318610.9020156,305843.8651197875,27554078.899906322,15480595597.049585,0,0,432652.21649426623,836800.9598388348,555.9490452831537,574.0937864571275,574.3533147205343,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.6751169991984356,2.622372397247292,1.2882117339985288,1.3258608306189836,44.758760469833035,43.34917824284919
16,28754954.75,27899301.175843164,26664078.710324317,1.8864579557139791,0.5090778944361456,618.563424921767,21.858665566158383,1416617.9765703264,28080696.686894644,16493423849.441782,781764914.7811037,211569.85997259704,28110871.03581576,17257487288.25343,0,0,711315.8298105621,1114716.3848760661,593.3366049741261,630.4648469531785,631.8888228379966,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.5264855244060112,2.246430387021947,1.6256943934037995,1.131020727915388,44.758760469833035,43.34917824284919
17,28143780.312925834,25251401.659440555,21475260.257911734,1.9219828834950186,0.4411368905574394,570.9376946136834,24.68789648232043,6055143.679170087,27530403.93708182,12261035582.880983,707433074.995676,2356742.634819045,27608144.2942596,14416977049.205132,0,0,4053801.080484068,5475641.611114884,542.446888486319,584.3478088761306,586.0183864786009,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.6100519967503053,2.233913770239732,2.4947063422749927,0.8780286917578188,44.758760469833035,43.34917824284919
18,10140852.050391562,4594479.833600971,3082013.4214707282,2.1165029752463846,0.18929511032066562,376.7589173969337,7.044346390908951,6746442.01524306,9828455.436713789,1161176040.076131,166660574.00385404,5258155.062114388,9852634.89571536,1731011248.109546,0,0,5603961.555377097,6215860.479785813,384.5632389025206,370.8712490382149,374.8422642500656,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.9826511190931861,2.2503548313995827,2.493926687564098,1.9707928484017931,44.758760469833035,43.34917824284919
19,4383962.47035026,4342512.172917245,4293503.036203153,2.2267178264314738,0.022007359805457257,806.2945668277657,35.21752443085243,84410.49024825825,4377913.526451412,3461828170.7491183,158871125.58203298,37365.13853599341,4379877.311453238,3501343971.4066095,0,0,131637.29567929063,206668.67578326893,765.7057721241964,828.7537587243786,824.424169634722,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.242279379785925,2.2111562730770227,1.4612625986946421,2.888062982185673,44.758760469833035,43.34917824284919
20,8471226.918214634,7421231.915728596,5898330.1056244625,2.3818513937993853,0.36773553632593653,649.9611528694179,25.012721431004156,2448200.526316281,8346530.631940743,3833685435.456071,244161650.48539883,940812.1475709289,8362044.063299525,4823512451.6582775,0,0,959954.3782587331,1431127.4708547427,621.0808295802743,664.6866711696499,664.1159578583294,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.1218231023800436,2.641879685218727,0.7783819357975732,2.7006762025422852,44.758760469833035,43.34917824284919
21,22304363.301273398,17326064.537406806,13832792.738662675,2.9813127979568805,0.12562088520352266,577.1063191156575,13.698210091171724,7385903.415532125,21218696.154194802,7982992100.499412,551135750.9857504,3932110.3189246813,21258174.856331486,9998981329.943169,0,0,5087090.351356562,6214000.930067474,561.3183249929017,584.1664151716686,585.834217182402,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.892485418170813,3.0701401777429482,3.1748513850091253,3.0074072984051687,44.758760469833035,43.34917824284919
22,21081987.300339483,17529533.28429115,12314467.32332126,2.6032742632915813,0.24857950512385696,455.99483830795066,6.686350437766076,8456499.238591501,20770966.56191276,5615333535.94642,426285630.403974,3297755.011750709,20827288.296041857,7993376695.584182,0,0,4498339.836230392,4954354.689791241,448.5737644948234,457.8606449437965,461.55010548523205,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.4275020095545057,2.7790465170286565,3.9942182382762033,1.1769999046478457,44.758760469833035,43.34917824284919
23,17035387.915542766,14191310.673674816,11281940.94497623,2.117824333648958,0.0915923826458033,366.09394674524094,1.7862840925518657,5225548.432015713,16507489.376991943,4130250287.493081,271992941.99639136,2301607.6715106913,16492918.345185507,5195352934.013477,0,0,5232413.233556794,4785239.439953984,364.0346132986224,367.0227661778949,367.2244607592055,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.053058738775077,2.1825899285228383,3.104988930280257,-1.1921224788646307,44.758760469833035,43.34917824284919
24,2159593.1252544476,1085805.321574533,716469.9033359126,2.7005219775988016,0.18736106726446083,337.2185229727266,14.313820864318117,860690.5049079219,1577160.4082438345,241606922.55734864,23937089.758629195,423825.9999550544,1509631.3215295873,366153666.7772904,0,0,1094988.4215613622,964141.1787930097,353.71939736346513,328.1456953642384,329.79047619047617,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.8330062587918508,2.5680376964057525,3.005025146834097,1.3481741143739183,44.758760469833035,43.34917824284919
25,3917941.753463308,1488817.4262199304,1146388.33236162,2.661725566137786,0.36521946050862053,287.82630346978505,17.20154405734973,2311937.3256845595,3458325.6580461795,329960716.0445364,44800248.918446995,1920694.5907744186,3409512.0169943487,428520816.330282,0,0,3022645.812293179,3543315.4386435254,307.67055066459517,278.6441176470588,277.16424209770116,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,2.919974723284724,2.403476408990848,4.221503628653041,1.364626810901336,44.758760469833035,43.34917824284919
